StudentID,Q1_Timestamp,Q1_CS_GPA,Q1_Overall_GPA,Q1_CS_Units,Q1_Total_Units,Q2_Timestamp,Q2_CS_GPA,Q2_Overall_GPA,Q2_CS_Units,Q2_Total_Units,Q3_Timestamp,Q3_CS_GPA,Q3_Overall_GPA,Q3_CS_Units,Q3_Total_Units,Q4_Timestamp,Q4_CS_GPA,Q4_Overall_GPA,Q4_CS_Units,Q4_Total_Units,Q5_Timestamp,Q5_CS_GPA,Q5_Overall_GPA,Q5_CS_Units,Q5_Total_Units
1,202308,3.25,3.22,11,12,202401,3.32,3.62,16,16,202403,2.88,2.83,8,8,202501,3.79,3.94,8,12,202503,2.77,2.88,16,19
2,202108,2.77,2.68,8,9,202201,3.12,2.74,13,15,202203,2.14,2.03,13,13,202303,2.49,2.55,12,12,202308,2.55,2.27,16,16
3,202203,3.73,3.68,13,17,202208,3.03,2.75,9,9,202301,2.73,2.75,12,12,202303,2.42,2.5,9,12,202308,2.7,2.64,13,14
4,202208,2.7,3.07,12,12,202301,2.99,2.78,10,14,202303,3.41,3.17,10,13,202308,3.1,2.71,16,17,202401,2.34,2.38,8,9
5,202108,3.37,3.4,9,10,202201,2.94,2.88,13,14,202203,2.26,2.12,14,17,202208,2.77,2.98,10,11,202301,3.17,2.82,16,18
6,202401,3.16,3.08,14,16,202403,2.66,2.78,10,14,202408,3.52,3.71,8,8,202501,2.58,2.52,10,13,202503,3.17,3.37,14,17
7,202308,2.76,2.72,16,16,202401,2.45,2.21,9,13,202403,3.41,3.68,13,13,202408,2.96,3.16,10,13,202503,3.18,3.05,12,16
8,202201,3.18,3.49,12,16,202203,2.98,3.29,10,12,202208,1.69,1.85,16,20,202301,3.04,2.98,13,16,202308,3.05,2.65,12,13
9,202103,2.89,2.96,9,9,202108,3.74,3.64,9,13,202201,2.6,2.5,10,13,202203,3.46,3.53,10,12,202208,2.74,2.84,14,15
10,202401,3.05,3.24,12,15,202403,2.65,2.58,13,16,202408,2.8,2.51,15,15,202501,3.15,3.2,9,11,202508,3,2.95,11,11
11,202201,2.29,2.21,11,11,202203,2.83,2.67,13,13,202208,2.92,3,12,15,202301,3.94,3.97,10,14,202303,3.13,3.12,11,14
12,202208,2.04,2.03,13,16,202301,3.03,3.52,8,8,202308,2.9,2.96,9,10,202401,2.98,2.75,16,19,202403,3.57,3.72,10,12
13,202203,3.4,3.22,9,12,202208,3.7,3.42,16,16,202303,3.29,3.73,8,8,202308,2.5,2.39,11,12,202401,3.05,2.95,15,16
14,202203,2.22,2.23,8,11,202208,2.47,2.56,15,17,202301,2.54,2.85,16,19,202303,2.61,2.55,12,13,202308,3.41,3.16,16,16
15,202401,3.11,3.37,16,20,202403,2.2,2.24,16,16,202408,3.13,3.29,9,13,202503,2.38,2.12,14,14,202508,3.26,3.32,11,15
16,202303,3.13,3.2,14,18,202308,2.66,2.71,13,15,202401,3.15,3.01,13,14,202403,3.93,4.02,10,12,202408,2.4,2.53,9,9
17,202301,2.51,2.67,9,9,202303,3.58,3.42,16,18,202308,3.48,3.56,13,13,202401,3.41,3.79,13,15,202403,2.88,2.73,16,18
18,202401,2.56,2.4,16,18,202403,2.96,3.03,9,10,202408,3.14,3.31,9,13,202501,3.01,3.3,12,16,202503,2.87,3.41,13,14
19,202401,3.31,3.14,16,19,202403,2.46,2.56,8,8,202408,2.89,3.03,12,12,202503,3.24,3.23,12,13,202508,2.58,2.28,16,19
20,202303,2.78,2.95,10,14,202401,3.11,2.86,16,17,202403,3.09,3.17,8,10,202408,2.56,2.59,8,10,202501,3.03,2.8,11,11
21,202301,3.18,3.29,14,18,202303,3.54,3.75,11,12,202308,2.31,2.12,10,13,202403,3.26,3.36,13,16,202408,3.26,4.03,11,13
22,202201,3.29,3.52,8,11,202203,3.48,3.61,15,17,202208,2.84,2.99,11,12,202303,2.61,2.56,13,15,202308,2.76,2.78,12,14
23,202401,4,3.63,16,18,202403,3.34,3.02,9,11,202408,2.76,2.98,12,12,202501,3.03,2.81,14,16,202503,2.64,2.78,13,16
24,202401,2.63,2.67,11,13,202408,3.02,2.89,16,20,202501,4,4.13,11,13,202503,1.99,2.03,13,17,202508,2.67,2.84,9,11
25,202308,2.6,2.58,13,16,202401,3.25,3.42,16,17,202403,2.4,2.33,14,15,202408,2.76,2.63,12,15,202501,3.88,3.96,8,10
26,202203,2.37,2.55,13,16,202208,4,4.21,11,15,202301,2.24,2.14,10,10,202303,3.63,3.49,13,13,202308,3.22,3.37,11,13
27,202103,2.54,2.53,8,9,202108,1.38,1.18,9,12,202201,2.87,2.62,11,14,202203,3.82,3.53,11,12,202208,2.78,2.81,8,8
28,202203,3.72,3.43,16,19,202301,3.58,3.58,9,12,202303,2.51,2.6,15,19,202308,3.1,2.98,13,16,202401,3.03,2.95,16,19
29,202308,3.06,3.19,15,18,202401,3.79,3.54,11,13,202403,4,3.61,16,19,202408,2.92,3.04,12,15,202503,3.14,3.02,12,14
30,202303,2.9,2.8,14,15,202308,2.71,2.88,9,12,202401,3.18,3.04,16,19,202403,3.45,3.51,11,14,202408,3.41,3.54,8,12
31,202301,2.59,2.48,14,17,202303,3.37,3.49,16,20,202308,2.99,3.01,15,16,202401,3.64,3.52,15,15,202403,3.27,3.23,14,15
32,202203,2.89,3.11,16,16,202208,3.41,3.57,8,8,202301,3.65,3.65,10,13,202303,3.34,3.28,12,15,202308,3.16,3.13,15,17
33,202208,3.05,3.17,14,16,202301,2.59,3.01,15,15,202303,2.5,2.26,8,10,202308,3.58,3.74,9,9,202401,3.31,3.44,11,12
34,202201,2.99,2.81,10,13,202203,3.04,2.9,11,14,202208,3.49,3.46,13,14,202301,2.59,2.53,9,10,202303,3.21,3.1,9,13
35,202108,2.59,2.64,14,17,202201,3.12,3.02,11,11,202203,2.76,2.81,11,11,202208,2.28,2,12,16,202301,2.64,2.6,8,10
36,202308,3.16,3.46,9,13,202401,3.43,3.4,8,11,202403,2.99,2.79,9,12,202408,2.99,2.93,15,16,202501,3.16,2.99,16,18
37,202401,3.26,3.57,15,18,202403,2.95,3.03,12,14,202408,3.35,3.27,9,11,202501,3.11,3.11,11,14,202503,3.05,2.9,14,16
38,202108,3.01,3.11,10,13,202201,3.73,3.92,12,14,202203,4,3.85,12,16,202301,3.44,3.48,9,10,202303,4,3.84,15,19
39,202201,2.58,2.46,15,18,202203,1.94,1.83,9,11,202208,2.62,2.65,11,13,202301,3.17,3.55,13,16,202303,3.48,3.36,13,16
40,202401,2.55,2.65,15,17,202403,2.34,2.71,11,11,202408,3.59,3.5,13,13,202501,2.14,2.41,10,11,202503,2.94,3.19,15,17
41,202401,2.2,2.08,16,20,202403,3,3.01,9,10,202408,2.77,2.89,13,14,202501,2.47,2.44,16,17,202503,3.06,3.16,8,12
42,202301,3.36,3.14,15,15,202303,2.23,2.49,12,15,202308,3.17,3.02,13,14,202401,3.78,3.8,12,15,202403,3.59,3.6,9,12
43,202203,4,4.35,8,9,202208,2.88,3.07,12,12,202301,3.32,3.59,9,13,202303,2.52,2.66,11,15,202308,3.53,3.18,15,17
44,202308,2.41,2,8,12,202401,2.87,3.01,9,10,202403,3.75,3.76,12,12,202408,3.81,3.53,10,14,202508,2.15,2.14,15,17
45,202103,3.19,3.18,12,15,202201,1.97,1.95,12,16,202203,2.35,2.48,11,14,202208,3.18,2.99,11,12,202301,2.74,2.53,10,10
46,202103,2.97,3.16,12,15,202108,2.51,2.61,12,15,202201,2.73,2.57,16,20,202203,2.95,2.74,9,13,202301,2.72,2.48,13,17
47,202208,3.98,3.99,8,10,202301,2.65,2.69,10,13,202303,2.94,2.9,15,17,202308,3.31,3.46,14,17,202401,2.73,2.61,15,17
48,202208,2.86,2.4,9,10,202301,2.24,2.51,15,17,202303,3.82,3.77,14,18,202403,3.29,3.35,9,12,202408,4,4.22,8,12
49,202301,2.94,2.75,15,18,202303,2.2,2.24,11,13,202308,2.62,2.34,12,15,202401,2.68,2.46,15,15,202408,3.84,4.02,11,12
50,202303,3,3.3,11,11,202308,3.04,2.87,9,10,202401,3.76,3.87,12,16,202403,2.48,2.44,14,17,202408,2.56,2.28,11,14
